[Header]	
System	TOC-L	
S/W Version	1.00	
User		
Date/Time	5/07/2018 11:20:34 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/Sparge Kit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	TOC	300m_SP2_HWC_diluted1to20	82	13.82	14.28	0.4540				mg/L	25	5/07/2018 12:28:04 AM	
Unknown	TOC	600m_SP4_HWC_diluted1to20	83	19.69	20.12	0.4275				mg/L	26	5/07/2018 12:49:16 AM	
Unknown	TOC	800m_SP3_HWC_diluted1to20	84	21.00	21.51	0.5041				mg/L	27	5/07/2018 1:08:53 AM	
Unknown	TOC	1200m_SP4_HWC_diluted1to20	85	31.84	32.66	0.8233				mg/L	28	5/07/2018 1:29:37 AM	
Unknown	TOC	1300m_SP3_HWC_diluted1to20	86	29.87	30.37	0.4969				mg/L	29	5/07/2018 1:51:11 AM	
Unknown	TOC	600m_SP2_HWC_diluted1to20	87	23.60	24.04	0.4337				mg/L	30	5/07/2018 2:09:54 AM	
Unknown	TOC	1300m_SP4_HWC_diluted1to20	88	45.92	46.43	0.5072				mg/L	31	5/07/2018 2:28:17 AM	
Unknown	TOC	300m_SP4_HWC_diluted1to20	89	11.24	11.67	0.4291				mg/L	32	5/07/2018 2:49:33 AM	
Unknown	TOC	900m_SP2_HWC_diluted1to20	90	30.01	30.42	0.4101				mg/L	33	5/07/2018 3:08:12 AM	
Unknown	TOC	1200m_SP2_HWC_diluted1to20	91	27.67	28.19	0.5210				mg/L	34	5/07/2018 3:26:51 AM	
Unknown	TOC	1100m_SP2_HWC_diluted1to20	92	37.27	37.47	0.1977				mg/L	35	5/07/2018 3:44:55 AM	
Unknown	TOC	1400m_SP2_HWC_diluted1to20	93	40.49	40.97	0.4793				mg/L	36	5/07/2018 4:06:32 AM	
Unknown	TOC	1300m_SP2_HWC_diluted1to20	94	26.65	27.16	0.5120				mg/L	37	5/07/2018 4:25:16 AM	
Unknown	TOC	1200m_SP3_HWC_diluted1to20	95	30.64	31.02	0.3830				mg/L	38	5/07/2018 4:44:16 AM	
Unknown	TOC	900m_SP4_HWC_diluted1to20	96	72.26	72.84	0.5816				mg/L	39	5/07/2018 5:03:27 AM	
Unknown	TOC	600m_SP3_HWC_diluted1to20	97	17.55	17.97	0.4242				mg/L	40	5/07/2018 5:24:39 AM	
